"","Source","Title","Narrative","Date"
"2818","Forward","Jewish Man Helps Evacuate Sick Friend From Puerto Rico","A Jewish man flew down to Puerto Rico to help evacuate his sick friend to ... Elie Finegold, a native of Dallas, Texas, flew to San Juan, Puerto Rico to be at the˜...",2017-10-04
"2819","FOX 13 News, Tampa Bay","Hillsborough County schools offering space to displaced Puerto ...","Also, because Puerto Rico is a U.S. territory, these children are U.S. citizens. In most cases, they'll be speaking as much English as they do Spanish. Some of˜...",2017-10-04
"2820","FOX 61","President Trump says US must 'wipe out' Puerto Rico debt","Trump spoke to Fox in San Juan, Puerto Rico, which he toured Tuesday. Before the storm, the island's government was in the midst of bitter negotiations with˜...",2017-10-04
"2821","Fox Business","Mick Mulvaney: No Federal bailout for Puerto Rico","Office of Management and Budget Director Mick Mulvaney on Wednesday said President Trump's comments on Puerto Rico's debt does not indicate that the˜...",2017-10-04
"2822","Fox Business","News Highlights: Top Global Markets News of the Day","Puerto Rico bond prices fell after President Trump said the U.S. territory's $73 billion debt load may get out wiped out to help the island recover from Hurricane˜...",2017-10-04
"2823","Fox Business","Trump says Puerto Rico's debt will have to be wiped out","Puerto Rico, which earlier this year filed the biggest bankruptcy in U.S. municipal history, is struggling to regain economic stability in the face of a $72 billion debt˜...",2017-10-04
"2824","Fox News","Hurricane Maria victims airlifted to mainland hospitals from US ...","US Virgin Island and Puerto Rico evacuees are being airlifted to a South Carolina airport to receive medical assistance in hospitals around the state's capitol.",2017-10-04
"2825","Fox News","Trump slams 'Fake News' for coverage of Puerto Rico trip","On the heels of his trip to Puerto Rico and ahead of his Wednesday visit to Las Vegas, President Trump took to Twitter to slam the ?Fake News Media? for not˜...",2017-10-04
"2826","Fox News Insider","Geraldo Blasts 'Fake News' Reports About Trump's Visit to Puerto Rico","Geraldo Rivera said the people of Puerto Rico were very happy that President Donald Trump and First Lady Melania Trump visited to survey the Hurricane Maria˜...",2017-10-04
"2827","FOX5 Las Vegas","Navy hospital ship USNS Comfort arrives in Puerto Rico","(AP/Meredith) -- A U.S. Navy hospital ship has arrived in Puerto Rico to bring medical care to the hurricane-ravaged island. Bill Mesta is a spokesman for the˜...",2017-10-04
"2828","Futurism","Puerto Rico Is Considering Bringing Power Back Through ...","Puerto Rico is without power after being hit hard by Hurricane Maria. However, there are hopes that the current situation could prompt authorities to deliver˜...",2017-10-04
"2829","Gears Of Biz","White House shuts down mayor of storm-hit Puerto Rico capital","The White House has refused to allow the mayor of San Juan, Puerto Rico, to speak at a press conference amid her ongoing war of words with President Donald˜...",2017-10-04
"2830","Gears Of Biz","Lin-Manuel Miranda says Trump is 'going straight to hell' for Puerto ...","Celebrities were appalled to see President Donald Trump tweeting an attack on Carmen Yul­n Cruz, the Mayor of San Juan, as Puerto Rico is still recovering˜...",2017-10-04
"2831","Gears Of Biz","Hundreds of dogs are being airlifted out of hurricane-ravaged Puerto ...","Hundreds of dogs are being airlifted out of hurricane-ravaged Puerto Rico ... coordinating with the Humane Society of Puerto Rico to get vulnerable dogs airlifted˜...",2017-10-04
"2832","Globalnews.ca","Donald Trump's Puerto Rico visit was all about publicity, San Juan ...","The mayor of San Juan, Puerto Rico had some harsh words for U.S. President Donald Trump, after he visited the hurricane-ravaged island Tuesday.",2017-10-04
"2833","Gossip Cop","?The View? Slams Donald Trump Over Puerto Rico Visit","On Wednesday's ?The View,? the co-hosts slammed Donald Trump for his controversial visit to Puerto Rico. Watch the video below. As Gossip Cop reported,˜...",2017-10-04
"2834","Gothamist","Video: Stephen Colbert Deeply Disturbed By Trump 'Trumpsplaining ...","""Thirteen days after Hurricane Maria, yet another disaster struck Puerto Rico: Donald Trump visited the island,"" Stephen Colbert said to start his show last night.",2017-10-04
"2835","Governing","As Puerto Ricans Flock to US Mainland, Florida Declares State of ...","Pledging that Florida will do ""everything we can to help Puerto Rico,"" Gov. Rick Scott on Monday declared a state of emergency that he said will make it easier to˜...",2017-10-04
"2836","Governing","I hate to tell you Puerto Rico, but you've thrown our budget a little out ...","Jos? A. Rivera, a farmer in Puerto Rico whose plantain farm was flattened by Hurricane Maria. The storm wiped out about 80 percent of the island's crop value.",2017-10-04
"2837","GuruFocus.com","Construction on Green Spirit Medical Cannabis Dispensaries in ...","SAN JUAN, Puerto Rico, Oct. 04, 2017 (GLOBE NEWSWIRE) -- Green Spirit Industries Inc. (OTC Pink:GSRX) (ŸGreen SpiritŸ or, the ŸCompanyŸ) through its˜...",2017-10-04
"2838","HamletHub","Ridgefield Public School Bus Drivers Stuff-A-Bus Event For Puerto ...","Ridgefield Public School bus drivers will be Stuffing-A-Bus for Puerto Rico in the parking lot of East Ridge Middle School on Saturday, October 7 from 9:00 am to˜...",2017-10-04
"2839","Hellenic Shipping News Worldwide","Buckeye resumes operation at Yabucoa, Puerto Rico; tankers ...","Buckeye Partners has resumed operations at its marine oil terminal and storage tanks in Puerto Rico, which could help ease shortages of diesel and gasoline on˜...",2017-10-04
"2840","Herald and News","Trump sees 'miracle' Puerto Rico survival, ignores critics","SAN JUAN, Puerto Rico (AP) ? Touring a small slice of Hurricane Maria's devastation, President Donald Trump congratulated Puerto Rico on Tuesday for˜...",2017-10-04
"2841","Hi","JEA sending crews to Puerto Rico","Veronica Figueroa-Velez, project manager for PRRF-SCW, became involved because she has family in Puerto Rico who have been impacted by Hurricane˜...",2017-10-04
"2842","Hindustan Times","Photos | Hurricane hit Puerto Rico without power for weeks: Trump ...","US President expressed satisfaction on Tuesday with the federal response to Hurricane Maria's devastation of Puerto Rico, despite criticism that the government˜...",2017-10-04
"2843","Hola Arkansas","Ana G. M?ndez University System Supports Students From Puerto ...","AGMUS has carried out relief efforts throughout their five campuses in the United States since last week to assist Puerto Rico in this time of need. The South˜...",2017-10-04
"2844","HollandSentinel.com","Local family tells hurricane story, looks to bring back help","A local family, having recently reached the mainland after living through the hurricanes that hit Puerto Rico and St. Thomas, is calling for help in bringing aid˜...",2017-10-04
"2845","Hollywood Reporter","San Juan Mayor Labels Trump ""Miscommunicator-in-Chief"" After ...","""This was a PR, 17-minute meeting,"" said Carmen Yulin Cruz of Trump's visit to Puerto Rico. ""There was no exchange with anybody."" Now that President Donald˜...",2017-10-04
"2846","Hollywood Reporter","Stephen Colbert, Jimmy Kimmel Mock Trump's Puerto Rico Visit","Following President Trump's Tuesday visit to Puerto Rico, late-night hosts Jimmy Kimmel and Stephen Colbert dedicated the opening monologues of their˜...",2017-10-04
"2847","Hollywood Reporter","'Twin Peaks' Meets 'Scott Pilgrim' for Puerto Rico Relief","'Twin Peaks' Meets 'Scott Pilgrim' for Puerto Rico Relief ... UNIDOS Disaster Relief Fund to help with hurricane and earthquake relief in Puerto Rico and Mexico.",2017-10-04
"2848","Horseed Media","USA: Trump oo waji gabax kale ka raacay booqashadiisii Puerto ...","Madaxweynaha Maraykanka Donald Trump ayaa shalay booqasho ku tagay jasiirada Puerto Rico oo uu burbur xoogleh kasoo gaaray duufaanadii dhawaan˜...",2017-10-04
"2849","HuffPost","Bethenny Frankel Sends Four Planes To Puerto Rico For Hurricane ...","While the current administration continues to flounder over hurricane relief efforts in Puerto Rico, ?Real Housewives of New York? star Bethenny Frankel has˜...",2017-10-04
"2850","HuffPost","San Juan Mayor Slams Donald Trump For 'Terrible And Abominable ...","The mayor of San Juan, Puerto Rico blasted President Donald Trump's meeting with local leaders on the island Tuesday as a public relations stunt.",2017-10-04
"2851","Huron Daily Tribune","West Virginia guard unit flying to Puerto Rico","CHARLESTON, W.Va. (AP) ? The West Virginia Air National Guard's 130th Airlift Wing has sent a transport plane and crew from Charleston to support relief˜...",2017-10-04
"2852","Hydrogen Fuel News","Tag: Puerto Rico","Tesla sends solar panels and battery systems to Puerto Rico Puerto Rico is still struggling to recover from the devastating impact of Hurricane Maria and˜...",2017-10-04
"2853","Hydrogen Fuel News","Tesla is sending its renewable energy solutions to aid Puerto Rico","Puerto Rico is still struggling to recover from the devastating impact of Hurricane Maria and automaker Tesla is looking to help in this endeavor. The company˜...",2017-10-04
"2854","In These Times","Trump Chides Puerto Rico Expenses While US Gives $15 Billion a ...","Speaking in front of an audience in Puerto Rico on Tuesday, Trump?sitting between his wife Melania and the island's governor Ricardo Rossell›?motioned to˜...",2017-10-04
"2855","Independent Journal Review","Trump Praises Media Coverage, Then Attacks 'Fake News' in ...","At first, Trump welcomed media coverage after his visit to Hurricane-torn Puerto Rico on Tuesday. ?While some of the news coverage is Fake, most showed great˜...",2017-10-04
"2856","Independent.ie","Brooke Shields reveals the very cringe chat-up line Donald Trump ...","4 4 U.S. President Donald Trump and first lady Melania Trump depart the White House in Washington, U.S., on their way to view storm damage in Puerto Rico,˜...",2017-10-04
"2857","Independent.ie","Revealed: Mass killer Stephen Paddock's detailed planning before ...","Jill Colvin Donald Trump highlighted Puerto Rico's low death toll compared with ""a real catastrophe like Katrina"" as he opened a tour of the island's devastation˜...",2017-10-04
"2858","Independent.ie","'Stop making hurtful comments' - Mayor responds to Trump's ...","Along with saying Puerto Rico had ?thrown our budget a little out of whack?, Mr Trump also claimed officials should be ?proud? only 16 people had died as the˜...",2017-10-04
"2859","India Today","Here's why Donald Trump's 'terrific' visit to Puerto Rico offended many","US President Donald Trump, along with this talent to offend people, visited Puerto Rico to take a look of the damage caused by Hurricane Maria. And he˜...",2017-10-04
